Week,Whisky: (Canada),White wine: (Canada),Craft Beer: (Canada)
30-08-2020,40,22,7
06-09-2020,42,24,6
13-09-2020,50,20,6
20-09-2020,53,21,5
27-09-2020,41,20,6
04-10-2020,43,22,6
11-10-2020,46,28,5
18-10-2020,47,23,5
25-10-2020,50,22,5
01-11-2020,43,19,6
08-11-2020,53,22,6
15-11-2020,55,22,7
22-11-2020,58,23,6
29-11-2020,65,23,6
06-12-2020,65,26,6
13-12-2020,74,33,6
20-12-2020,98,52,5
27-12-2020,72,37,4
03-01-2021,47,22,3
10-01-2021,49,22,4
17-01-2021,49,22,4
24-01-2021,53,23,4
31-01-2021,48,23,4
07-02-2021,48,24,5
14-02-2021,49,25,4
21-02-2021,47,21,5
28-02-2021,46,20,6
07-03-2021,47,21,5
14-03-2021,51,21,5
21-03-2021,44,22,6
28-03-2021,45,24,6
04-04-2021,38,20,5
11-04-2021,37,19,5
18-04-2021,39,18,4
25-04-2021,39,19,5
02-05-2021,38,19,5
09-05-2021,38,20,4
16-05-2021,37,19,5
23-05-2021,40,20,5
30-05-2021,39,20,7
06-06-2021,40,19,8
13-06-2021,43,19,8
20-06-2021,44,21,9
27-06-2021,41,23,9
04-07-2021,41,22,8
11-07-2021,41,22,9
18-07-2021,42,25,9
25-07-2021,42,25,10
01-08-2021,42,28,9
08-08-2021,42,25,9
15-08-2021,42,24,8
22-08-2021,41,24,8
29-08-2021,40,23,7
05-09-2021,43,24,7
12-09-2021,42,22,6
19-09-2021,41,21,8
26-09-2021,42,20,7
03-10-2021,48,24,6
10-10-2021,50,26,7
17-10-2021,46,22,8
24-10-2021,46,22,6
31-10-2021,45,22,7
07-11-2021,61,22,7
14-11-2021,55,20,8
21-11-2021,58,22,7
28-11-2021,61,23,7
05-12-2021,63,26,8
12-12-2021,72,31,6
19-12-2021,91,39,6
26-12-2021,71,31,5
02-01-2022,53,19,4
09-01-2022,50,22,4
16-01-2022,44,21,4
23-01-2022,49,20,4
30-01-2022,47,20,5
06-02-2022,48,22,6
13-02-2022,47,24,6
20-02-2022,48,23,6
27-02-2022,46,21,7
06-03-2022,47,20,7
13-03-2022,52,20,7
20-03-2022,46,21,7
27-03-2022,43,21,6
03-04-2022,42,18,7
10-04-2022,48,23,8
17-04-2022,46,21,7
24-04-2022,45,20,7
01-05-2022,45,21,8
08-05-2022,40,20,8
15-05-2022,42,20,8
22-05-2022,44,20,9
29-05-2022,40,22,9
05-06-2022,43,21,11
12-06-2022,51,22,10
19-06-2022,50,23,11
26-06-2022,46,25,9
03-07-2022,45,22,10
10-07-2022,44,23,10
17-07-2022,46,25,8
24-07-2022,46,25,8
31-07-2022,46,26,8
07-08-2022,46,23,9
14-08-2022,42,23,8
21-08-2022,47,23,7
28-08-2022,42,22,8
04-09-2022,44,22,7
11-09-2022,42,22,8
18-09-2022,45,20,7
25-09-2022,44,20,7
02-10-2022,45,24,7
09-10-2022,49,23,7
16-10-2022,44,20,7
23-10-2022,45,21,6
30-10-2022,44,20,6
06-11-2022,50,21,6
13-11-2022,53,21,7
20-11-2022,54,21,7
27-11-2022,59,20,7
04-12-2022,60,24,6
11-12-2022,65,29,7
18-12-2022,91,42,6
25-12-2022,85,39,6
01-01-2023,57,26,5
08-01-2023,47,21,5
15-01-2023,50,21,6
22-01-2023,55,20,6
29-01-2023,49,21,5
05-02-2023,48,21,7
12-02-2023,43,22,6
19-02-2023,48,20,6
26-02-2023,49,19,7
05-03-2023,51,20,7
12-03-2023,59,21,6
19-03-2023,50,20,6
26-03-2023,50,22,7
02-04-2023,53,23,7
09-04-2023,46,22,7
16-04-2023,46,19,7
23-04-2023,47,20,7
30-04-2023,48,21,6
07-05-2023,44,23,8
14-05-2023,50,23,7
21-05-2023,48,25,8
28-05-2023,47,24,9
04-06-2023,48,23,9
11-06-2023,55,25,9
18-06-2023,52,25,8
25-06-2023,47,25,7
02-07-2023,50,25,8
09-07-2023,47,23,8
16-07-2023,49,24,7
23-07-2023,48,24,7
30-07-2023,48,25,7
06-08-2023,51,23,7
13-08-2023,48,22,7
20-08-2023,49,21,7
27-08-2023,49,24,6
03-09-2023,49,23,5
10-09-2023,47,21,5
17-09-2023,49,23,6
24-09-2023,49,22,5
01-10-2023,54,24,6
08-10-2023,54,25,5
15-10-2023,54,21,6
22-10-2023,52,22,5
29-10-2023,50,20,6
05-11-2023,59,22,6
12-11-2023,66,22,6
19-11-2023,60,22,5
26-11-2023,61,25,6
03-12-2023,70,26,6
10-12-2023,72,27,7
17-12-2023,91,38,6
24-12-2023,93,38,5
31-12-2023,70,30,5
07-01-2024,51,21,4
14-01-2024,54,21,5
21-01-2024,48,20,5
28-01-2024,46,21,5
04-02-2024,44,20,6
11-02-2024,44,22,5
18-02-2024,46,20,6
25-02-2024,42,20,5
03-03-2024,47,19,6
10-03-2024,48,20,6
17-03-2024,50,21,6
24-03-2024,52,23,5
31-03-2024,53,20,5
07-04-2024,45,19,5
14-04-2024,48,20,6
21-04-2024,47,21,6
28-04-2024,48,19,6
05-05-2024,49,20,6
12-05-2024,50,21,6
19-05-2024,54,20,6
26-05-2024,50,19,6
02-06-2024,50,18,7
09-06-2024,50,19,7
16-06-2024,48,20,7
23-06-2024,49,21,6
30-06-2024,53,22,7
07-07-2024,52,22,8
14-07-2024,50,22,6
21-07-2024,49,23,6
28-07-2024,49,21,6
04-08-2024,50,22,5
11-08-2024,51,23,6
18-08-2024,57,22,5
25-08-2024,52,22,5
01-09-2024,52,19,5
08-09-2024,49,20,5
15-09-2024,47,20,5
22-09-2024,50,21,5
29-09-2024,50,22,4
06-10-2024,54,24,4
13-10-2024,52,23,5
20-10-2024,51,20,6
